"tx_id","itemset"
"tt2879552-1","Mystery"
"tt2879552-1","Sci-Fi"
"tt3148266-1","Adventure"
"tt3148266-1","Mystery"
"tt3148266-2","Adventure"
"tt3148266-2","Mystery"
"tt3148266-3","Adventure"
"tt3148266-3","Mystery"
"tt3148266-4","Adventure"
"tt3148266-4","Mystery"
"tt1837492-1","Mystery"
"tt1837492-2","Mystery"
"tt0285331-1","Action"
"tt0285331-1","Crime"
"tt0285331-2","Action"
"tt0285331-2","Crime"
"tt0285331-3","Action"
"tt0285331-3","Crime"
"tt0285331-4","Action"
"tt0285331-4","Crime"
"tt0285331-5","Action"
"tt0285331-5","Crime"
"tt0285331-6","Action"
"tt0285331-6","Crime"
"tt0285331-7","Action"
"tt0285331-7","Crime"
"tt0285331-8","Action"
"tt0285331-8","Crime"
"tt5345490-1","Action"
"tt5345490-1","Crime"
"tt1598754-1","Action"
"tt1598754-1","Crime"
"tt2197797-1","Fantasy"
"tt2197797-1","Mystery"
"tt0115083-1","Family"
"tt0115083-1","Romance"
"tt0115083-10","Family"
"tt0115083-10","Romance"
"tt0312081-1","Comedy"
"tt0312081-2","Comedy"
"tt0312081-3","Comedy"
"tt7235466-1","Action"
"tt7235466-1","Thriller"
"tt1225901-1","Comedy"
"tt1225901-1","Romance"
"tt1225901-2","Comedy"
"tt1225901-2","Romance"
"tt1225901-3","Comedy"
"tt1225901-3","Romance"
"tt1225901-4","Comedy"
"tt1225901-4","Romance"
"tt1225901-5","Comedy"
"tt1225901-5","Romance"
"tt2177461-1","Fantasy"
"tt2177461-1","Romance"
"tt1820742-1","Fantasy"
"tt0283205-1","Action"
"tt0283205-1","Mystery"
"tt4834206-1","Adventure"
"tt4834206-1","Comedy"
"tt4834206-2","Adventure"
"tt4834206-2","Comedy"
"tt0202179-25","Adventure"
"tt0202179-25","Comedy"
"tt5542294-1","Crime"
"tt2666270-1","Comedy"
"tt2666270-1","Romance"
"tt6794990-1","Crime"
"tt6794990-1","Mystery"
"tt1734537-1","Crime"
"tt1734537-1","Mystery"
"tt1734537-2","Crime"
"tt1734537-2","Mystery"
"tt1734537-3","Crime"
"tt1734537-3","Mystery"
"tt1734537-4","Crime"
"tt1734537-4","Mystery"
"tt1734537-5","Crime"
"tt1734537-5","Mystery"
"tt1734537-6","Crime"
"tt1734537-6","Mystery"
"tt3499120-1","Action"
"tt2364582-1","Action"
"tt2364582-1","Adventure"
"tt2364582-2","Action"
"tt2364582-2","Adventure"
"tt2364582-3","Action"
"tt2364582-3","Adventure"
