"r_id","itemset"
1,"Mystery"
1,"Sci-Fi"
2,"Adventure"
2,"Mystery"
3,"Adventure"
3,"Mystery"
4,"Adventure"
4,"Mystery"
5,"Adventure"
5,"Mystery"
6,"Mystery"
7,"Mystery"
8,"Action"
8,"Crime"
9,"Action"
9,"Crime"
10,"Action"
10,"Crime"
11,"Action"
11,"Crime"
12,"Action"
12,"Crime"
13,"Action"
13,"Crime"
14,"Action"
14,"Crime"
15,"Action"
15,"Crime"
16,"Action"
16,"Crime"
17,"Action"
17,"Crime"
18,"Fantasy"
18,"Mystery"
19,"Family"
19,"Romance"
20,"Family"
20,"Romance"
21,"Comedy"
22,"Comedy"
23,"Comedy"
24,"Action"
24,"Thriller"
25,"Comedy"
25,"Romance"
26,"Comedy"
26,"Romance"
27,"Comedy"
27,"Romance"
28,"Comedy"
28,"Romance"
29,"Comedy"
29,"Romance"
30,"Fantasy"
30,"Romance"
31,"Fantasy"
32,"Action"
32,"Mystery"
33,"Adventure"
33,"Comedy"
34,"Adventure"
34,"Comedy"
36,"Adventure"
36,"Comedy"
37,"Crime"
38,"Comedy"
38,"Romance"
39,"Crime"
39,"Mystery"
40,"Crime"
40,"Mystery"
41,"Crime"
41,"Mystery"
42,"Crime"
42,"Mystery"
43,"Crime"
43,"Mystery"
44,"Crime"
44,"Mystery"
45,"Crime"
45,"Mystery"
46,"Action"
47,"Action"
47,"Adventure"
48,"Action"
48,"Adventure"
49,"Action"
49,"Adventure"
50,"Action"
50,"Adventure"
51,"Action"
51,"Adventure"
52,"Action"
52,"Adventure"
53,"Action"
53,"Crime"
54,"Action"
54,"Mystery"
55,"Action"
55,"Mystery"
56,"Action"
56,"Mystery"
57,"Action"
57,"Mystery"
58,"Action"
58,"Mystery"
59,"Biography"
59,"Crime"
60,"Adventure"
60,"Fantasy"
61,"Mystery"
61,"Romance"
62,"Thriller"
63,"Comedy"
63,"Fantasy"
64,"Comedy"
64,"Fantasy"
65,"Comedy"
65,"Fantasy"
66,"Comedy"
66,"Fantasy"
67,"Comedy"
67,"Fantasy"
68,"Action"
68,"Crime"
69,"Comedy"
70,"Action"
70,"Sci-Fi"
71,"Action"
71,"Sci-Fi"
72,"Action"
72,"Sci-Fi"
73,"Crime"
74,"Crime"
75,"Crime"
76,"Biography"
76,"Crime"
77,"Biography"
77,"Crime"
78,"Fantasy"
78,"Mystery"
79,"Horror"
