"r_id","itemset"
1,"bushes"
1,"deciduous"
1,"grass"
1,"river"
1,"tree"
1,"trees"
2,"cabin"
2,"clouds"
2,"conifer"
2,"mountain"
2,"snow"
2,"snowy_mountain"
2,"tree"
2,"trees"
2,"winter"
3,"cabin"
3,"conifer"
3,"fence"
3,"mountain"
3,"mountains"
3,"structure"
3,"sun"
3,"tree"
3,"trees"
3,"winter"
4,"bushes"
4,"clouds"
4,"conifer"
4,"lake"
4,"mountain"
4,"snowy_mountain"
4,"tree"
4,"trees"
5,"deciduous"
5,"river"
5,"rocks"
5,"tree"
5,"trees"
6,"cabin"
6,"conifer"
6,"lake"
6,"moon"
6,"mountain"
6,"mountains"
6,"night"
6,"snow"
6,"snowy_mountain"
6,"structure"
6,"tree"
6,"trees"
6,"winter"
7,"deciduous"
7,"lake"
7,"mountain"
7,"mountains"
7,"snowy_mountain"
7,"tree"
7,"trees"
8,"bushes"
8,"conifer"
8,"lake"
8,"mountain"
8,"mountains"
8,"tree"
8,"trees"
9,"beach"
9,"clouds"
9,"fence"
9,"ocean"
10,"bushes"
10,"conifer"
10,"deciduous"
10,"lake"
10,"mountain"
10,"tree"
10,"trees"
11,"deciduous"
11,"lake"
11,"tree"
11,"trees"
12,"cirrus"
12,"clouds"
12,"conifer"
12,"lake"
12,"mountain"
12,"mountains"
12,"snowy_mountain"
12,"tree"
12,"trees"
13,"bushes"
13,"conifer"
13,"deciduous"
13,"grass"
13,"mountain"
13,"snowy_mountain"
13,"tree"
13,"trees"
14,"bushes"
14,"conifer"
14,"cumulus"
14,"deciduous"
14,"grass"
14,"lake"
14,"mountain"
14,"snowy_mountain"
14,"tree"
14,"trees"
15,"conifer"
15,"lake"
15,"snow"
15,"sun"
15,"tree"
15,"trees"
16,"clouds"
16,"cumulus"
16,"deciduous"
16,"ocean"
16,"sun"
16,"tree"
16,"trees"
16,"waves"
17,"bushes"
17,"cabin"
17,"clouds"
17,"conifer"
17,"cumulus"
17,"deciduous"
17,"lake"
17,"mountain"
17,"mountains"
17,"snow"
17,"snowy_mountain"
17,"structure"
17,"tree"
17,"trees"
18,"bushes"
18,"deciduous"
18,"grass"
18,"lake"
18,"tree"
18,"trees"
19,"bushes"
19,"clouds"
19,"cumulus"
19,"deciduous"
19,"grass"
19,"river"
19,"tree"
19,"trees"
20,"clouds"
20,"conifer"
20,"cumulus"
20,"grass"
20,"lake"
20,"mountain"
20,"mountains"
20,"tree"
20,"trees"
21,"bushes"
21,"cirrus"
21,"clouds"
21,"conifer"
21,"lake"
21,"mountain"
21,"snowy_mountain"
21,"tree"
21,"trees"
22,"cirrus"
22,"cumulus"
22,"deciduous"
22,"ocean"
22,"rocks"
22,"sun"
22,"tree"
22,"trees"
22,"waves"
23,"deciduous"
23,"grass"
23,"river"
23,"tree"
23,"trees"
24,"bushes"
24,"clouds"
24,"conifer"
24,"cumulus"
24,"deciduous"
24,"grass"
24,"river"
24,"rocks"
24,"tree"
24,"trees"
24,"waterfall"
25,"deciduous"
25,"grass"
25,"lake"
25,"mountain"
25,"mountains"
25,"snowy_mountain"
25,"tree"
25,"trees"
25,"waterfall"
26,"bushes"
26,"clouds"
26,"conifer"
26,"cumulus"
26,"lake"
26,"mountain"
26,"mountains"
26,"snowy_mountain"
26,"tree"
26,"trees"
27,"bushes"
27,"cabin"
27,"conifer"
27,"deciduous"
27,"lake"
27,"mountain"
27,"mountains"
27,"structure"
27,"tree"
27,"trees"
28,"clouds"
28,"cumulus"
28,"moon"
28,"night"
28,"ocean"
28,"palm_trees"
28,"tree"
28,"trees"
28,"waves"
29,"deciduous"
29,"grass"
29,"river"
29,"rocks"
29,"tree"
29,"trees"
30,"cabin"
30,"conifer"
30,"snow"
30,"structure"
30,"tree"
30,"trees"
30,"winter"
31,"cirrus"
31,"clouds"
31,"conifer"
31,"deciduous"
31,"hills"
31,"lake"
31,"mountain"
31,"mountains"
31,"tree"
31,"trees"
32,"bridge"
32,"deciduous"
32,"path"
32,"structure"
32,"tree"
32,"trees"
33,"deciduous"
33,"lake"
33,"mountain"
33,"mountains"
33,"tree"
33,"trees"
34,"cliff"
34,"clouds"
34,"cumulus"
34,"lighthouse"
34,"night"
34,"ocean"
34,"structure"
34,"waves"
35,"bushes"
35,"cabin"
35,"clouds"
35,"cumulus"
35,"deciduous"
35,"mill"
35,"river"
35,"structure"
35,"tree"
35,"trees"
36,"bushes"
36,"deciduous"
36,"fire"
36,"lake"
36,"person"
36,"tree"
36,"trees"
37,"barn"
37,"deciduous"
37,"fence"
37,"lake"
37,"structure"
37,"tree"
37,"trees"
38,"bushes"
38,"conifer"
38,"deciduous"
38,"lake"
38,"mountain"
38,"mountains"
38,"tree"
38,"trees"
39,"clouds"
39,"conifer"
39,"cumulus"
39,"deciduous"
39,"guest"
39,"lake"
39,"mountain"
39,"snowy_mountain"
39,"steve_ross"
39,"tree"
39,"trees"
40,"cabin"
40,"conifer"
40,"lake"
40,"snow"
40,"structure"
40,"tree"
40,"trees"
40,"winter"
41,"bushes"
41,"clouds"
41,"cumulus"
41,"deciduous"
41,"grass"
41,"lake"
41,"mountain"
41,"mountains"
41,"tree"
41,"trees"
42,"bushes"
42,"conifer"
42,"grass"
42,"mountain"
42,"mountains"
42,"snowy_mountain"
42,"tree"
42,"trees"
43,"cabin"
43,"circle_frame"
43,"clouds"
43,"conifer"
43,"cumulus"
43,"deciduous"
43,"framed"
43,"guest"
43,"lake"
43,"snow"
43,"structure"
43,"tree"
43,"trees"
43,"winter"
44,"beach"
44,"cliff"
44,"clouds"
44,"conifer"
44,"cumulus"
44,"ocean"
44,"rocks"
44,"tree"
44,"trees"
44,"waves"
45,"bushes"
45,"deciduous"
45,"lake"
45,"tree"
45,"trees"
46,"cabin"
46,"deciduous"
46,"grass"
46,"path"
46,"structure"
46,"tree"
46,"trees"
47,"conifer"
47,"deciduous"
47,"grass"
47,"lake"
47,"tree"
47,"trees"
48,"bushes"
48,"clouds"
48,"conifer"
48,"lake"
48,"mountain"
48,"mountains"
48,"snowy_mountain"
48,"tree"
48,"trees"
49,"bushes"
49,"conifer"
49,"grass"
49,"river"
49,"tree"
49,"trees"
50,"clouds"
50,"conifer"
50,"cumulus"
50,"diane_andre"
50,"guest"
50,"mountain"
50,"mountains"
50,"snowy_mountain"
50,"tree"
50,"trees"
51,"deciduous"
51,"grass"
51,"hills"
51,"lake"
51,"tree"
51,"trees"
52,"conifer"
52,"grass"
52,"lake"
52,"mountain"
52,"snowy_mountain"
52,"tree"
53,"bushes"
53,"clouds"
53,"conifer"
53,"cumulus"
53,"lake"
53,"mountain"
53,"mountains"
53,"snowy_mountain"
53,"tree"
53,"trees"
53,"waterfall"
54,"clouds"
54,"cumulus"
54,"deciduous"
54,"grass"
54,"lake"
54,"tree"
54,"trees"
55,"conifer"
55,"flowers"
55,"guest"
55,"mountain"
55,"mountains"
55,"snow"
55,"snowy_mountain"
55,"tree"
55,"trees"
56,"conifer"
56,"deciduous"
56,"lake"
56,"snow"
56,"tree"
56,"trees"
56,"winter"
57,"deciduous"
57,"grass"
57,"lake"
57,"tree"
57,"trees"
58,"clouds"
58,"grass"
58,"guest"
58,"ocean"
58,"sun"
59,"deciduous"
59,"grass"
59,"river"
59,"rocks"
59,"tree"
59,"trees"
60,"deciduous"
60,"grass"
60,"mountain"
60,"mountains"
60,"river"
60,"tree"
60,"trees"
61,"guest"
61,"ocean"
61,"waves"
62,"barn"
62,"clouds"
62,"deciduous"
62,"path"
62,"structure"
62,"tree"
62,"windmill"
63,"bushes"
63,"clouds"
63,"cumulus"
63,"deciduous"
63,"grass"
63,"lake"
63,"mountain"
63,"rocks"
63,"snowy_mountain"
63,"tree"
63,"trees"
64,"guest"
64,"portrait"
65,"barn"
65,"clouds"
65,"deciduous"
65,"grass"
65,"river"
65,"rocks"
65,"structure"
65,"tree"
65,"trees"
66,"bushes"
66,"conifer"
66,"deciduous"
66,"grass"
66,"hills"
66,"river"
66,"tree"
66,"trees"
67,"bushes"
67,"cabin"
67,"clouds"
67,"deciduous"
67,"fog"
67,"grass"
67,"lake"
67,"structure"
67,"tree"
67,"trees"
68,"clouds"
68,"conifer"
68,"fog"
68,"lake"
68,"mountain"
68,"snowy_mountain"
68,"tree"
68,"trees"
69,"deciduous"
69,"grass"
69,"river"
69,"rocks"
69,"tree"
69,"trees"
70,"bushes"
70,"deciduous"
70,"river"
70,"tree"
70,"trees"
71,"clouds"
71,"conifer"
71,"cumulus"
71,"grass"
71,"snow"
71,"tree"
71,"trees"
72,"cirrus"
72,"clouds"
72,"conifer"
72,"grass"
72,"mountain"
72,"mountains"
72,"river"
72,"snowy_mountain"
72,"tree"
72,"trees"
72,"waterfall"
73,"bushes"
73,"conifer"
73,"lake"
73,"mountain"
73,"snowy_mountain"
73,"tree"
73,"trees"
74,"bushes"
74,"cabin"
74,"clouds"
74,"conifer"
74,"cumulus"
74,"grass"
74,"rocks"
74,"tree"
74,"trees"
75,"barn"
75,"cirrus"
75,"clouds"
75,"fence"
75,"grass"
76,"cirrus"
76,"clouds"
76,"deciduous"
76,"mountain"
76,"mountains"
76,"river"
76,"tree"
77,"bushes"
77,"clouds"
77,"deciduous"
77,"lake"
77,"tree"
77,"trees"
78,"clouds"
78,"conifer"
78,"deciduous"
78,"grass"
78,"hills"
78,"river"
78,"tree"
78,"trees"
79,"cabin"
79,"clouds"
79,"deciduous"
79,"snow"
79,"structure"
79,"tree"
79,"winter"
80,"clouds"
80,"deciduous"
80,"grass"
80,"lake"
80,"rocks"
80,"tree"
80,"trees"
81,"cirrus"
81,"clouds"
81,"conifer"
81,"deciduous"
81,"river"
81,"sun"
81,"tree"
81,"trees"
82,"cabin"
82,"clouds"
82,"conifer"
82,"cumulus"
82,"deciduous"
82,"mountain"
82,"mountains"
82,"river"
82,"snowy_mountain"
82,"structure"
82,"tree"
82,"trees"
83,"guest"
83,"portrait"
84,"bushes"
84,"clouds"
84,"cumulus"
84,"deciduous"
84,"lake"
84,"river"
84,"tree"
84,"trees"
84,"waterfall"
85,"barn"
85,"clouds"
85,"cumulus"
85,"deciduous"
85,"path"
85,"snow"
85,"structure"
85,"tree"
85,"trees"
86,"bushes"
86,"deciduous"
86,"mountain"
86,"river"
86,"snowy_mountain"
86,"tree"
86,"trees"
87,"bushes"
87,"clouds"
87,"cumulus"
87,"deciduous"
87,"guest"
87,"lake"
87,"mountain"
87,"snowy_mountain"
87,"steve_ross"
87,"tree"
87,"trees"
88,"clouds"
88,"conifer"
88,"grass"
88,"mountain"
88,"mountains"
88,"snowy_mountain"
88,"tree"
88,"trees"
89,"bushes"
89,"clouds"
89,"lake"
89,"snow"
89,"tree"
89,"trees"
89,"winter"
90,"boat"
90,"clouds"
90,"cumulus"
90,"deciduous"
90,"dock"
90,"lake"
90,"structure"
90,"tree"
91,"bushes"
91,"deciduous"
91,"river"
91,"tree"
91,"trees"
91,"waterfall"
92,"conifer"
92,"fog"
92,"grass"
92,"mountain"
92,"mountains"
92,"tree"
92,"trees"
93,"bushes"
93,"cabin"
93,"circle_frame"
93,"clouds"
93,"deciduous"
93,"framed"
93,"grass"
93,"lake"
93,"structure"
93,"tree"
93,"trees"
94,"cabin"
94,"deciduous"
94,"grass"
94,"snow"
94,"structure"
94,"sun"
94,"tree"
94,"trees"
94,"winter"
95,"bushes"
95,"deciduous"
95,"grass"
95,"lake"
95,"path"
95,"rocks"
95,"tree"
95,"trees"
96,"cabin"
96,"cirrus"
96,"clouds"
96,"conifer"
96,"deciduous"
96,"path"
96,"river"
96,"rocks"
96,"structure"
96,"tree"
96,"trees"
97,"bushes"
97,"clouds"
97,"conifer"
97,"grass"
97,"mountain"
97,"mountains"
97,"river"
97,"tree"
97,"trees"
98,"cabin"
98,"conifer"
98,"deciduous"
98,"fence"
98,"snow"
98,"structure"
98,"tree"
98,"trees"
98,"winter"
99,"conifer"
99,"deciduous"
99,"grass"
99,"mountain"
99,"mountains"
99,"river"
99,"snowy_mountain"
99,"tree"
99,"trees"
100,"bushes"
100,"clouds"
100,"conifer"
100,"framed"
100,"rectangular_frame"
100,"tree"
100,"trees"
101,"cactus"
101,"clouds"
101,"path"
101,"rocks"
102,"clouds"
102,"conifer"
102,"cumulus"
102,"deciduous"
102,"guest"
102,"lake"
102,"mountain"
102,"mountains"
102,"snowy_mountain"
102,"steve_ross"
102,"tree"
102,"trees"
103,"cabin"
103,"clouds"
103,"conifer"
103,"snow"
103,"structure"
103,"tree"
103,"winter"
104,"aurora_borealis"
104,"cabin"
104,"conifer"
104,"deciduous"
104,"lake"
104,"mountain"
104,"night"
104,"snow"
104,"snowy_mountain"
104,"structure"
104,"tree"
104,"trees"
104,"winter"
105,"cirrus"
105,"clouds"
105,"conifer"
105,"mountain"
105,"mountains"
105,"snow"
105,"snowy_mountain"
105,"sun"
105,"tree"
105,"trees"
105,"winter"
106,"beach"
106,"cliff"
106,"clouds"
106,"cumulus"
106,"ocean"
106,"rocks"
106,"waves"
107,"bushes"
107,"clouds"
107,"conifer"
107,"lake"
107,"tree"
107,"trees"
108,"bushes"
108,"clouds"
108,"conifer"
108,"cumulus"
108,"deciduous"
108,"grass"
108,"mountain"
108,"mountains"
108,"path"
108,"snowy_mountain"
108,"tree"
108,"trees"
109,"bushes"
109,"cabin"
109,"conifer"
109,"fog"
109,"framed"
109,"mountain"
109,"oval_frame"
109,"river"
109,"snowy_mountain"
109,"structure"
109,"tree"
109,"trees"
110,"beach"
110,"clouds"
110,"cumulus"
110,"ocean"
110,"rocks"
110,"waves"
111,"bushes"
111,"conifer"
111,"deciduous"
111,"mountain"
111,"mountains"
111,"river"
111,"rocks"
111,"snowy_mountain"
111,"tree"
111,"trees"
112,"cabin"
112,"deciduous"
112,"fence"
112,"mountain"
112,"path"
112,"structure"
112,"tree"
112,"trees"
113,"bushes"
113,"clouds"
113,"mountain"
113,"river"
113,"snowy_mountain"
113,"tree"
113,"trees"
115,"bushes"
115,"clouds"
115,"cumulus"
115,"deciduous"
115,"grass"
115,"mountain"
115,"mountains"
115,"river"
115,"tree"
115,"trees"
116,"beach"
116,"bushes"
116,"clouds"
116,"cumulus"
116,"deciduous"
116,"mountain"
116,"ocean"
116,"snowy_mountain"
116,"tree"
116,"waves"
117,"cirrus"
117,"clouds"
117,"conifer"
117,"deciduous"
117,"grass"
117,"mountain"
117,"mountains"
117,"river"
117,"snowy_mountain"
117,"tree"
117,"trees"
118,"bushes"
118,"clouds"
118,"conifer"
118,"cumulus"
118,"deciduous"
118,"hills"
118,"lake"
118,"mountain"
118,"snowy_mountain"
118,"tree"
118,"trees"
119,"cabin"
119,"clouds"
119,"conifer"
119,"fence"
119,"grass"
119,"structure"
119,"tree"
119,"trees"
120,"clouds"
120,"conifer"
120,"deciduous"
120,"grass"
120,"hills"
120,"river"
120,"rocks"
120,"tree"
120,"trees"
120,"waterfall"
121,"bridge"
121,"deciduous"
121,"river"
121,"rocks"
121,"structure"
121,"tree"
121,"trees"
122,"clouds"
122,"cumulus"
122,"ocean"
122,"rocks"
122,"waves"
123,"bushes"
123,"clouds"
123,"conifer"
123,"cumulus"
123,"deciduous"
123,"lake"
123,"mountain"
123,"mountains"
123,"snowy_mountain"
123,"tree"
123,"trees"
124,"bushes"
124,"deciduous"
124,"snow"
124,"tree"
124,"trees"
124,"winter"
125,"deciduous"
125,"lake"
125,"snow"
125,"sun"
125,"tree"
125,"trees"
126,"bushes"
126,"cirrus"
126,"clouds"
126,"conifer"
126,"deciduous"
126,"framed"
126,"guest"
126,"lake"
126,"mountain"
126,"mountains"
126,"oval_frame"
126,"snowy_mountain"
126,"steve_ross"
126,"tree"
126,"trees"
127,"beach"
127,"clouds"
127,"ocean"
127,"rocks"
127,"waves"
128,"cabin"
128,"conifer"
128,"deciduous"
128,"framed"
128,"grass"
128,"mountain"
128,"mountains"
128,"path"
128,"snowy_mountain"
128,"structure"
128,"tree"
128,"trees"
128,"triple_frame"
129,"clouds"
129,"conifer"
129,"deciduous"
129,"mountain"
129,"mountains"
129,"snow"
129,"snowy_mountain"
129,"sun"
129,"tree"
129,"trees"
129,"winter"
130,"cabin"
130,"clouds"
130,"cumulus"
130,"deciduous"
130,"grass"
130,"lake"
130,"path"
130,"rocks"
130,"structure"
130,"tree"
130,"trees"
131,"conifer"
131,"grass"
131,"mountain"
131,"river"
131,"snowy_mountain"
131,"tree"
131,"trees"
132,"bushes"
132,"cabin"
132,"clouds"
132,"conifer"
132,"deciduous"
132,"snow"
132,"structure"
132,"tree"
132,"trees"
132,"winter"
133,"conifer"
133,"fence"
133,"flowers"
133,"tree"
133,"trees"
134,"bushes"
134,"clouds"
134,"deciduous"
134,"river"
134,"tree"
134,"trees"
134,"waterfall"
135,"clouds"
135,"conifer"
135,"cumulus"
135,"grass"
135,"mountain"
135,"river"
135,"rocks"
135,"snowy_mountain"
135,"tree"
135,"trees"
135,"waterfall"
136,"barn"
136,"bushes"
136,"clouds"
136,"cumulus"
136,"deciduous"
136,"framed"
136,"oval_frame"
136,"snow"
136,"structure"
136,"tree"
136,"trees"
136,"winter"
137,"bushes"
137,"clouds"
137,"conifer"
137,"cumulus"
137,"deciduous"
137,"grass"
137,"lake"
137,"path"
137,"rocks"
137,"tree"
137,"trees"
138,"bushes"
138,"clouds"
138,"conifer"
138,"cumulus"
138,"deciduous"
138,"framed"
138,"lake"
138,"mountain"
138,"oval_frame"
138,"snowy_mountain"
138,"tree"
138,"trees"
139,"barn"
139,"cirrus"
139,"clouds"
139,"deciduous"
139,"snow"
139,"structure"
139,"tree"
139,"trees"
139,"winter"
140,"beach"
140,"clouds"
140,"ocean"
140,"rocks"
140,"sun"
140,"waves"
141,"clouds"
141,"conifer"
141,"lake"
141,"snow"
141,"tree"
141,"trees"
141,"waterfall"
142,"barn"
142,"clouds"
142,"cumulus"
142,"deciduous"
142,"fence"
142,"lake"
142,"path"
142,"structure"
142,"tree"
142,"trees"
143,"bushes"
143,"deciduous"
143,"grass"
143,"river"
143,"rocks"
143,"tree"
143,"trees"
144,"cabin"
144,"deciduous"
144,"fog"
144,"grass"
144,"structure"
144,"sun"
144,"tree"
145,"bushes"
145,"clouds"
145,"conifer"
145,"cumulus"
145,"mountain"
145,"mountains"
145,"river"
145,"rocks"
145,"snowy_mountain"
145,"tree"
145,"trees"
146,"clouds"
146,"conifer"
146,"cumulus"
